new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.236
4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,42.72
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,157.16
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,84.112
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,58.796
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.062
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,86.896
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.038
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,30.992
4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.662
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,117.354
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,62.598
3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.26
4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,42.7
1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,157.242
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,84.156
3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,58.854
4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.302
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,86.718
2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,45.858
3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.044
4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.744
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,117.374
2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,62.43
3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.158
4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,42.526
1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,157.34
2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,83.976
3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,58.642
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.24
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,87.264
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,46.154
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.16
4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,36.032
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,133.236
2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,70.876
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.178
4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.35
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,184.806
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,99.084
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,71.092
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.408
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,87.328
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,46.448
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.094
4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,36.216
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,133.016
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,70.848
3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.042
4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.322
1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,184.54
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,98.686
3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,71.328
4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.374
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,87.288
2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,46.38
3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.216
4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,36.164
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,132.954
2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,70.884
3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.268
4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.434
1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,184.508
2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,98.794
3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,71.098
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23.178
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,86.752
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,45.96
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,31.208
4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,35.556
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,132.104
2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.38
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.19
4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.016
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,183.728
2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,98.636
3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,71.014
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23.148
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,86.776
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,45.93
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,31.0
4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,35.664
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,132.146
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.476
3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.458
4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.19
1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,183.844
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,98.556
3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,71.134
4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23.178
1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,86.802
2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,45.894
3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,31.154
4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,35.924
1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,132.308
2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.59
3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.296
4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.272
1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,183.864
2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,98.726
3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,71.242
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,21.906
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,79.25
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,42.334
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,28.938
4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30.204
1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,110.394
2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,58.852
3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,41.07
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,40.79
1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,149.592
2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,79.904
3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,56.06
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22.664
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.102
2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,42.904
3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,29.632
4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30.64
1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,110.968
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,59.44
3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,41.368
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,41.228
1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,150.036
2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.554
3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,56.438
4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.268
1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.502
2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,43.192
3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30.266
4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,31.366
1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,111.308
2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,59.786
3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,41.736
4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,41.786
1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,150.78
2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.82
3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,56.862
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,22.168
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,79.33
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,42.308
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,29.078
4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.136
1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,110.004
2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,58.786
3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.164
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,40.842
1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,149.054
2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,79.818
3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,56.19
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,23.092
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,80.156
2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,42.69
3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,29.806
4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.834
1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,111.042
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,59.27
3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.478
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.46
1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,149.878
2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,80.35
3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,56.482
4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,23.282
1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,80.474
2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,43.338
3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.302
4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,31.458
1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,111.342
2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,59.802
3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,42.104
4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.978
1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,150.172
2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,80.966
3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,56.994
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.714
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,79.3
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,42.238
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,28.922
4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,33.498
1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,122.666
2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,65.43
3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.406
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.682
1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,170.97
2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,91.398
3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,66.204
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,22.816
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,80.34
2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,42.83
3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,29.398
4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.188
1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,123.274
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,65.806
3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.988
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.31
1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,171.428
2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,92.04
3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,66.68
4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.334
1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,80.566
2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,43.296
3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,29.97
4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.796
1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,123.538
2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,66.262
3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.424
4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.72
1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,172.042
2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,92.494
3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,66.908
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21.942
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,79.414
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.258
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29.174
4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.59
1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.262
2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,65.406
3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,46.656
4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,46.726
1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,170.516
2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,91.506
3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,65.988
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22.59
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,80.118
2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.712
3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29.674
4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34.208
1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.942
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,65.834
3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47.138
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47.44
1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,171.186
2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,92.288
3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.46
4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23.282
1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,80.582
2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43.45
3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30.392
4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34.832
1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,123.422
2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.384
3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47.534
4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,48.082
1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,171.936
2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,92.482
3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.928
4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.278
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,86.438
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,46.026
3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,31.218
4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.114
1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,111.978
2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,58.836
3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,40.032
4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,39.166
1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,146.138
2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,76.774
3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,52.294
4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,25.124
1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,86.728
2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,46.01
3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,31.026
4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.12
1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,111.83
2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,59.142
3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,40.066
4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,39.126
1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,146.228
2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,76.862
3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,52.074
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.326
1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,86.716
2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45.874
